Activity
amylo                   
amylopullulanase        
apiosylglucosidase      
arabinofuranosidase     
arabinoxylan            
binding                               
cellobiosidase          
cellulase               
chitosanase             
cyclomaltodextrin       
dextranase                                 
endoglycoceramidase                       
exohydrolase                            
fructanfructan          
fructosidase            
fucosidase              
galactangalactan        
galactosidase           
galactosylceramidase    
galacturonidase         
glucanase               
glucodextranase         
glucopyranosyl          
glucosamine             
glucosyl                
glucosylglycerate       
glucosyltransferase     
glucuronoarabinoxylan              
hexosaminidase          
hydroxyisourate         
inulin                                
isoamylase              
isomalto                
kojibiose               
lacto                   
levan                   
levanbiohydrolase       
lucosylglycerate        
malto                   
maltohexaose            
maltose                 
maltotetraose           
mannan                  
mannobiohydrolase       
mannooligosaccharide    
mannosyl                
mannosylglycerate       
neopullulanase          
oligoglucosidase        
oligosaccharide         
peptidoglycan                          
phosphoglucosidase      
polygalactosaminidase                              
raucaffricine                         
rhamnogalacturonyl      
rutinosidase                             
sucrose                 
sucrosesucrose          
thioglucosidase                      
trehalohydrolase                                       
xyloglucan              
xylosidase
acetylgalactosaminidase 
acetylhexosaminidase                    
amylase                
amylomaltase           
amylosucrase           
arabinanase            
arabinopyranosidase                        
cellobiohydrolase      
cellodextrinase        
cellulose                         
cyclomaltodextrinase                      
endoglucanase                           
exoglucosaminidase     
exomannanase           
fructan                
fructanotransferase    
fructosyltransferase   
galactanase            
galactofuranosidase    
galactosyl             
glucan                 
glucanotransferase     
glucooligosaccharide   
glucosidase               
glucosylglycerol       
glucuronidase                     
glycosidase                                 
inulinase                            
isoflavonoid           
isomaltulose           
lactase                
laminarinase           
levanase               
lichenase                            
maltogenic             
maltopentaose            
maltotriose            
mannanase              
mannobiose             
mannosidase            
mannosylglucose                    
nigerose               
oligomannan            
oligosyltrehalose      
phlorizin              
phosphogalactosidase   
phosphorylase          
primeverosidase                     
pullulanase                                        
rhamnose               
sophorohydrolase                        
sucrosefructan                        
trehalase              
trehalose                           
xylanase               
xyloglucanase          
